"proposal_id","freelancer_id","project_id","proposal_text","bid_amount","submitted_at"
"54b02cc5-3","2d140e33-c","11e21218-a","I am highly experienced in social and can deliver great results.","2595.07","2025-03-07 10:25:23.965379"
"c439c465-e","2d140e33-c","4ec469ce-0","I am highly experienced in custom and can deliver great results.","10587.19","2025-03-07 10:25:23.965379"
"92bc13f3-5","8bd4ece8-3","c650fe50-5","I am highly experienced in social and can deliver great results.","1911.32","2025-03-07 10:25:23.965379"
"9c40fbd9-9","8bd4ece8-3","2240d6f4-a","I am highly experienced in e-commerce and can deliver great results.","4049.40","2025-03-07 10:25:23.965379"
"f71a871f-c","8bd4ece8-3","8fdde2da-e","I am highly experienced in custom and can deliver great results.","5757.86","2025-03-07 10:25:23.965379"
"ba2c027c-d","8bd4ece8-3","2b111c89-7","I am highly experienced in e-commerce and can deliver great results.","2068.53","2025-03-07 10:25:23.965379"
"580cdfc9-e","8bd4ece8-3","80113dcf-a","I am highly experienced in ai and can deliver great results.","2167.26","2025-03-07 10:25:23.965379"
"1e1cafbb-3","3aa5c8bb-d","dd5ca364-e","I am highly experienced in social and can deliver great results.","2778.82","2025-03-07 10:25:23.965379"
"e560e037-7","3aa5c8bb-d","50d38286-a","I am highly experienced in ai and can deliver great results.","986.12","2025-03-07 10:25:23.965379"
"798b566b-a","3aa5c8bb-d","e39ee2c6-1","I am highly experienced in data and can deliver great results.","6344.96","2025-03-07 10:25:23.965379"
"0e7c4906-8","fecef31a-5","b795c97f-1","I am highly experienced in custom and can deliver great results.","8599.70","2025-03-07 10:25:23.965379"
"e96852cf-4","b0b97605-b","d47a6fe2-1","I am highly experienced in custom and can deliver great results.","2058.73","2025-03-07 10:25:23.965379"
"a7a7c413-b","b0b97605-b","8bf7ffae-7","I am highly experienced in custom and can deliver great results.","2945.87","2025-03-07 10:25:23.965379"
"82a1d991-e","b0b97605-b","96d23546-3","I am highly experienced in e-commerce and can deliver great results.","1494.33","2025-03-07 10:25:23.965379"
"586f290a-2","b0b97605-b","c1e02d9e-6","I am highly experienced in custom and can deliver great results.","3227.33","2025-03-07 10:25:23.965379"
"9d121d10-9","b0b97605-b","a5bf217f-e","I am highly experienced in marketing and can deliver great results.","2023.03","2025-03-07 10:25:23.965379"
"2796a5bf-0","fd2c1f0d-2","26784c78-6","I am highly experienced in ai and can deliver great results.","4414.70","2025-03-07 10:25:23.965379"
"9167597d-2","465c16dc-3","328091e9-b","I am highly experienced in e-commerce and can deliver great results.","4226.84","2025-03-07 10:25:23.965379"
"280b5bbf-b","465c16dc-3","0d11a9cc-8","I am highly experienced in seo and can deliver great results.","3881.56","2025-03-07 10:25:23.965379"
"6dfd3a78-6","465c16dc-3","ef2fc250-d","I am highly experienced in custom and can deliver great results.","3377.19","2025-03-07 10:25:23.965379"
"f0be70c9-2","465c16dc-3","03f9eb05-b","I am highly experienced in e-commerce and can deliver great results.","1430.98","2025-03-07 10:25:23.965379"
"14996b3e-9","465c16dc-3","fbd622a2-3","I am highly experienced in data and can deliver great results.","6167.10","2025-03-07 10:25:23.965379"
"abed997c-a","0a96538c-7","0c385dc6-2","I am highly experienced in social and can deliver great results.","4852.97","2025-03-07 10:25:23.965379"
"864ddaee-4","0a96538c-7","f19c5c57-3","I am highly experienced in mobile and can deliver great results.","7814.03","2025-03-07 10:25:23.965379"
"dee11a38-a","0a96538c-7","d0599999-4","I am highly experienced in e-commerce and can deliver great results.","8675.99","2025-03-07 10:25:23.965379"
"bbb4761c-a","0a96538c-7","2225ceb4-c","I am highly experienced in ai and can deliver great results.","4277.81","2025-03-07 10:25:23.965379"
"a809f904-f","06c06e76-2","cb2f9e3b-5","I am highly experienced in social and can deliver great results.","7006.00","2025-03-07 10:25:23.965379"
"6cf80e91-6","5989dae6-c","ba20e338-2","I am highly experienced in seo and can deliver great results.","6655.28","2025-03-07 10:25:23.965379"
"22907d18-f","5989dae6-c","af675eb9-4","I am highly experienced in ai and can deliver great results.","945.63","2025-03-07 10:25:23.965379"
"b176eab3-3","fdfc17a5-8","6c7715a5-c","I am highly experienced in mobile and can deliver great results.","1400.67","2025-03-07 10:25:23.965379"
"c3926e7f-d","fdfc17a5-8","b1b58eb2-b","I am highly experienced in e-commerce and can deliver great results.","1977.29","2025-03-07 10:25:23.965379"
"01265ef5-e","fdfc17a5-8","1896d42c-3","I am highly experienced in marketing and can deliver great results.","3171.29","2025-03-07 10:25:23.965379"
"6e971053-5","fdfc17a5-8","39701e7e-0","I am highly experienced in social and can deliver great results.","4831.12","2025-03-07 10:25:23.965379"
"dddaebc0-4","fdfc17a5-8","6eff37fb-c","I am highly experienced in e-commerce and can deliver great results.","4100.19","2025-03-07 10:25:23.965379"
"7a2e43b1-0","61c160d2-f","c650fe50-5","I am highly experienced in social and can deliver great results.","1718.76","2025-03-07 10:25:23.965379"
"4a6a8108-8","303ea92f-8","6eff37fb-c","I am highly experienced in e-commerce and can deliver great results.","3805.49","2025-03-07 10:25:23.965379"
"79938d3c-8","303ea92f-8","e39ee2c6-1","I am highly experienced in data and can deliver great results.","8069.37","2025-03-07 10:25:23.965379"
"faf3e302-6","303ea92f-8","0271823c-9","I am highly experienced in custom and can deliver great results.","3946.45","2025-03-07 10:25:23.965379"
"424df026-e","303ea92f-8","7bed2ef7-9","I am highly experienced in financial and can deliver great results.","6701.06","2025-03-07 10:25:23.965379"
"4e3368c6-d","caed638b-8","7f95f7cd-0","I am highly experienced in marketing and can deliver great results.","7075.22","2025-03-07 10:25:23.965379"
"51a07727-4","caed638b-8","39701e7e-0","I am highly experienced in social and can deliver great results.","4378.13","2025-03-07 10:25:23.965379"
"a7af73ad-e","2b7c3a56-8","5ef177a4-a","I am highly experienced in social and can deliver great results.","5934.94","2025-03-07 10:25:23.965379"
"c30c7d69-1","2b7c3a56-8","2d6e6c4c-8","I am highly experienced in mobile and can deliver great results.","2550.08","2025-03-07 10:25:23.965379"
"f9075d2c-b","2b7c3a56-8","1e05fe9c-3","I am highly experienced in logo and can deliver great results.","2994.58","2025-03-07 10:25:23.965379"
"945cf99d-4","032f21fa-6","ea7a5080-4","I am highly experienced in e-commerce and can deliver great results.","9748.72","2025-03-07 10:25:23.965379"
"980369b9-3","032f21fa-6","a5061c4c-4","I am highly experienced in data and can deliver great results.","5145.29","2025-03-07 10:25:23.965379"
"ea84e392-3","032f21fa-6","328091e9-b","I am highly experienced in e-commerce and can deliver great results.","3611.93","2025-03-07 10:25:23.965379"
"56069d68-f","032f21fa-6","1f84616d-d","I am highly experienced in logo and can deliver great results.","4020.30","2025-03-07 10:25:23.965379"
"1727cdb7-f","032f21fa-6","c1e02d9e-6","I am highly experienced in custom and can deliver great results.","4145.23","2025-03-07 10:25:23.965379"
"4fb2448f-2","4b5a5164-a","1982342c-b","I am highly experienced in ai and can deliver great results.","4147.57","2025-03-07 10:25:23.965379"
"3ced240f-8","4b5a5164-a","1403a661-7","I am highly experienced in data and can deliver great results.","8426.83","2025-03-07 10:25:23.965379"
"52d5832f-d","fb34d04a-5","faa757a8-9","I am highly experienced in seo and can deliver great results.","8745.70","2025-03-07 10:25:23.965379"
"101b0bdc-4","fb34d04a-5","f19c5c57-3","I am highly experienced in mobile and can deliver great results.","9185.95","2025-03-07 10:25:23.965379"
"2c341edc-2","52ffc6c7-1","370c45b6-d","I am highly experienced in financial and can deliver great results.","8558.11","2025-03-07 10:25:23.965379"
"301ba07a-f","52ffc6c7-1","4ec469ce-0","I am highly experienced in custom and can deliver great results.","10381.08","2025-03-07 10:25:23.965379"
"e8ea055b-7","52ffc6c7-1","1f84616d-d","I am highly experienced in logo and can deliver great results.","3284.58","2025-03-07 10:25:23.965379"
"436ab4c9-9","26495112-1","46732aa6-7","I am highly experienced in social and can deliver great results.","6315.49","2025-03-07 10:25:23.965379"
"6acfb730-8","26495112-1","a809638f-6","I am highly experienced in mobile and can deliver great results.","8596.16","2025-03-07 10:25:23.965379"
"981b62df-3","26495112-1","97011d77-0","I am highly experienced in seo and can deliver great results.","3132.61","2025-03-07 10:25:23.965379"
"8b49e4f9-d","dae484c6-6","954c99c1-5","I am highly experienced in logo and can deliver great results.","7347.80","2025-03-07 10:25:23.965379"
"5364e3d1-b","dae484c6-6","11e21218-a","I am highly experienced in social and can deliver great results.","3029.72","2025-03-07 10:25:23.965379"
"3ffd2d6b-6","dae484c6-6","eb215d13-4","I am highly experienced in seo and can deliver great results.","2832.51","2025-03-07 10:25:23.965379"
"01f2cc6c-1","0617fb2d-0","9a09bc57-2","I am highly experienced in seo and can deliver great results.","4216.63","2025-03-07 10:25:23.965379"
"a41a3155-0","0617fb2d-0","eb215d13-4","I am highly experienced in seo and can deliver great results.","2560.73","2025-03-07 10:25:23.965379"
"950bacc1-e","ee11d252-1","69b20ff3-a","I am highly experienced in mobile and can deliver great results.","2643.68","2025-03-07 10:25:23.965379"
"2f565566-7","ee11d252-1","a5bf217f-e","I am highly experienced in marketing and can deliver great results.","2170.86","2025-03-07 10:25:23.965379"
"9211769e-7","ee11d252-1","954c99c1-5","I am highly experienced in logo and can deliver great results.","7912.62","2025-03-07 10:25:23.965379"
"ca5078ef-a","ee11d252-1","4cd12e61-3","I am highly experienced in e-commerce and can deliver great results.","3498.96","2025-03-07 10:25:23.965379"
"4f042881-f","55cfdee2-1","d47a6fe2-1","I am highly experienced in custom and can deliver great results.","2604.47","2025-03-07 10:25:23.965379"
"6507af0b-9","55cfdee2-1","4ec469ce-0","I am highly experienced in custom and can deliver great results.","10863.91","2025-03-07 10:25:23.965379"
"590bb002-1","55cfdee2-1","7b1b1ddc-5","I am highly experienced in data and can deliver great results.","4574.04","2025-03-07 10:25:23.965379"
"451cf703-7","55cfdee2-1","6c7715a5-c","I am highly experienced in mobile and can deliver great results.","1623.08","2025-03-07 10:25:23.965379"
"deba3b9c-2","55cfdee2-1","0a286165-2","I am highly experienced in ai and can deliver great results.","5837.80","2025-03-07 10:25:23.965379"
"9d3f0e48-5","60142e4e-e","2240d6f4-a","I am highly experienced in e-commerce and can deliver great results.","4673.21","2025-03-07 10:25:23.965379"
"522a99f3-7","60142e4e-e","e691beb2-1","I am highly experienced in social and can deliver great results.","7477.05","2025-03-07 10:25:23.965379"
"58ce19a0-b","60142e4e-e","3e9965c8-4","I am highly experienced in custom and can deliver great results.","10584.35","2025-03-07 10:25:23.965379"
"386b338b-c","b5cb1f48-7","7efd3cac-9","I am highly experienced in social and can deliver great results.","7898.44","2025-03-07 10:25:23.965379"
"460d8c1a-e","b5cb1f48-7","9a09bc57-2","I am highly experienced in seo and can deliver great results.","3292.34","2025-03-07 10:25:23.965379"
"9b8a9948-c","b5cb1f48-7","430d5618-1","I am highly experienced in data and can deliver great results.","6863.85","2025-03-07 10:25:23.965379"
"383fc59b-1","8e31e4e6-c","74b83a9a-a","I am highly experienced in social and can deliver great results.","5380.46","2025-03-07 10:25:23.965379"
"36c0a5be-5","8e31e4e6-c","3013b3e2-f","I am highly experienced in custom and can deliver great results.","6004.07","2025-03-07 10:25:23.965379"
"293fc13a-7","8e31e4e6-c","13cca556-0","I am highly experienced in financial and can deliver great results.","2436.64","2025-03-07 10:25:23.965379"
"5586ff06-f","8e31e4e6-c","1e1c925f-7","I am highly experienced in logo and can deliver great results.","3698.32","2025-03-07 10:25:23.965379"
"fff470ff-d","8e31e4e6-c","1d05556c-2","I am highly experienced in mobile and can deliver great results.","2327.79","2025-03-07 10:25:23.965379"
"d3b705e5-1","b369dfd6-f","3013b3e2-f","I am highly experienced in custom and can deliver great results.","7974.53","2025-03-07 10:25:23.965379"
"5e0df7bf-1","b369dfd6-f","a5bf217f-e","I am highly experienced in marketing and can deliver great results.","1774.57","2025-03-07 10:25:23.965379"
"70b5eac5-7","b369dfd6-f","c1a49fcb-0","I am highly experienced in ai and can deliver great results.","7742.34","2025-03-07 10:25:23.965379"
"24606cba-6","a54a7813-0","a3b6141c-3","I am highly experienced in custom and can deliver great results.","5853.07","2025-03-07 10:25:23.965379"
"877a6973-2","a1182307-e","503a120b-e","I am highly experienced in social and can deliver great results.","4346.36","2025-03-07 10:25:23.965379"
"14fab0a5-3","a1182307-e","2240d6f4-a","I am highly experienced in e-commerce and can deliver great results.","3813.93","2025-03-07 10:25:23.965379"
"97087f66-b","a1182307-e","69bbd78f-4","I am highly experienced in ai and can deliver great results.","2437.97","2025-03-07 10:25:23.965379"
"39c2997f-7","a1182307-e","2f52c540-e","I am highly experienced in e-commerce and can deliver great results.","3954.98","2025-03-07 10:25:23.965379"
"a88e3382-7","a1182307-e","10e0e21b-d","I am highly experienced in logo and can deliver great results.","7568.92","2025-03-07 10:25:23.965379"
"b1021d8b-0","98663b14-6","e8e9c2dd-7","I am highly experienced in e-commerce and can deliver great results.","8077.98","2025-03-07 10:25:23.965379"
"8577ba42-e","98663b14-6","5ef177a4-a","I am highly experienced in social and can deliver great results.","5181.86","2025-03-07 10:25:23.965379"
"4cd946b9-e","98663b14-6","667857bc-7","I am highly experienced in ai and can deliver great results.","6620.70","2025-03-07 10:25:23.965379"
"86e4ba9d-c","cc13a75a-1","a047c183-2","I am highly experienced in logo and can deliver great results.","3928.46","2025-03-07 10:25:23.965379"
"3ed2728c-9","c85db1c0-2","7001f7c2-b","I am highly experienced in mobile and can deliver great results.","1200.29","2025-03-07 10:25:23.965379"
"9a307a26-1","7a0abb7b-d","47ed5a9f-0","I am highly experienced in social and can deliver great results.","765.50","2025-03-07 10:25:23.965379"
"bfd86fe4-2","7a0abb7b-d","fbd622a2-3","I am highly experienced in data and can deliver great results.","4610.91","2025-03-07 10:25:23.965379"
"84bed458-d","7a0abb7b-d","80113dcf-a","I am highly experienced in ai and can deliver great results.","2092.61","2025-03-07 10:25:23.965379"
"a9265e0c-3","51e410ae-5","e8e9c2dd-7","I am highly experienced in e-commerce and can deliver great results.","8389.15","2025-03-07 10:25:23.965379"
"18c4d639-0","51e410ae-5","a809638f-6","I am highly experienced in mobile and can deliver great results.","9982.00","2025-03-07 10:25:23.965379"
"97caefce-7","51e410ae-5","51ce440e-f","I am highly experienced in mobile and can deliver great results.","8460.26","2025-03-07 10:25:23.965379"
"ff01cb72-4","e363f571-7","5a45db62-0","I am highly experienced in marketing and can deliver great results.","10710.87","2025-03-07 10:25:23.965379"
"e5d855bf-4","bb95abb6-c","954c99c1-5","I am highly experienced in logo and can deliver great results.","7314.07","2025-03-07 10:25:23.965379"
"3d29de5e-6","e4c47d8a-b","370c45b6-d","I am highly experienced in financial and can deliver great results.","8624.03","2025-03-07 10:25:23.965379"
"e0ad45fb-5","9443dd24-a","6ee9796a-9","I am highly experienced in seo and can deliver great results.","2482.74","2025-03-07 10:25:23.965379"
"d633d8ce-2","9443dd24-a","47ed5a9f-0","I am highly experienced in social and can deliver great results.","649.44","2025-03-07 10:25:23.965379"
"0bd04ae5-d","9443dd24-a","1e05fe9c-3","I am highly experienced in logo and can deliver great results.","3537.29","2025-03-07 10:25:23.965379"
"ba1940fd-1","f668b07a-f","63d226ce-e","I am highly experienced in e-commerce and can deliver great results.","4467.59","2025-03-07 10:25:23.965379"
"9c8a95a0-1","f668b07a-f","4cd12e61-3","I am highly experienced in e-commerce and can deliver great results.","4186.23","2025-03-07 10:25:23.965379"
"c3efd000-b","f668b07a-f","7f95f7cd-0","I am highly experienced in marketing and can deliver great results.","5870.71","2025-03-07 10:25:23.965379"
"85a13b43-b","f668b07a-f","1d05556c-2","I am highly experienced in mobile and can deliver great results.","3386.50","2025-03-07 10:25:23.965379"
"ca586384-f","1f8977ce-4","05381887-b","I am highly experienced in mobile and can deliver great results.","2274.11","2025-03-07 10:25:23.965379"
"52a9f3c2-f","1f8977ce-4","7f95f7cd-0","I am highly experienced in marketing and can deliver great results.","6399.84","2025-03-07 10:25:23.965379"
"1c29626e-0","1f8977ce-4","6eff37fb-c","I am highly experienced in e-commerce and can deliver great results.","3818.15","2025-03-07 10:25:23.965379"
"88a9d2b5-d","71a660be-e","87adbcf3-4","I am highly experienced in mobile and can deliver great results.","7879.64","2025-03-07 10:25:23.965379"
"cca43f4f-0","71a660be-e","d0599999-4","I am highly experienced in e-commerce and can deliver great results.","6627.31","2025-03-07 10:25:23.965379"
"5ed3007e-e","71a660be-e","8bf7ffae-7","I am highly experienced in custom and can deliver great results.","3008.64","2025-03-07 10:25:23.965379"
"3344786f-4","d05dfa25-2","31b9d822-b","I am highly experienced in seo and can deliver great results.","3170.08","2025-03-07 10:25:23.965379"
"5f532316-e","7f3efedc-9","774d3e7f-7","I am highly experienced in data and can deliver great results.","8685.93","2025-03-07 10:25:23.965379"
"6ab6e4d5-9","7f3efedc-9","1e05fe9c-3","I am highly experienced in logo and can deliver great results.","2824.65","2025-03-07 10:25:23.965379"
"94cdadff-9","7f3efedc-9","903e5977-f","I am highly experienced in seo and can deliver great results.","3905.37","2025-03-07 10:25:23.965379"
"96434b95-4","7f3efedc-9","97011d77-0","I am highly experienced in seo and can deliver great results.","3071.20","2025-03-07 10:25:23.965379"
"38ae2936-6","71bc5f96-3","af675eb9-4","I am highly experienced in ai and can deliver great results.","1207.85","2025-03-07 10:25:23.965379"
"c33291c4-5","71bc5f96-3","4f1090d9-c","I am highly experienced in marketing and can deliver great results.","10379.74","2025-03-07 10:25:23.965379"
"86a08063-d","71bc5f96-3","4cd12e61-3","I am highly experienced in e-commerce and can deliver great results.","4602.25","2025-03-07 10:25:23.965379"
"18aad297-b","29644934-8","328091e9-b","I am highly experienced in e-commerce and can deliver great results.","4579.14","2025-03-07 10:25:23.965379"
"36eabeda-0","29644934-8","97011d77-0","I am highly experienced in seo and can deliver great results.","4101.87","2025-03-07 10:25:23.965379"
"c35d0e12-f","fef0d132-1","82f23e76-1","I am highly experienced in logo and can deliver great results.","8612.92","2025-03-07 10:25:23.965379"
"d829066a-9","fef0d132-1","cc38f468-f","I am highly experienced in seo and can deliver great results.","5544.84","2025-03-07 10:25:23.965379"
"cbb77928-5","fef0d132-1","3013b3e2-f","I am highly experienced in custom and can deliver great results.","7473.79","2025-03-07 10:25:23.965379"
"03cd230e-f","fef0d132-1","4a787da0-2","I am highly experienced in marketing and can deliver great results.","7245.80","2025-03-07 10:25:23.965379"
"106894be-f","1f4f1f15-c","903e5977-f","I am highly experienced in seo and can deliver great results.","3368.03","2025-03-07 10:25:23.965379"
"06c8f1aa-e","1f4f1f15-c","ed3ad5fe-3","I am highly experienced in logo and can deliver great results.","1437.85","2025-03-07 10:25:23.965379"
"925d2ffc-d","420173ee-7","cc38f468-f","I am highly experienced in seo and can deliver great results.","6507.34","2025-03-07 10:25:23.965379"
